city,powiat,voivodeship
Gąsawa,żniński,kujawsko-pomorskie
Górzno,brodnicki,kujawsko-pomorskie
Lubień Kujawski,włocławski,kujawsko-pomorskie
Bobrowniki,lipnowski,kujawsko-pomorskie
Puławy,puławski,lubelskie
Świdnik,świdnicki,lubelskie
Kraśnik,kraśnicki,lubelskie
Łuków,łukowski,lubelskie
Biłgoraj,biłgorajski,lubelskie
Lubartów,lubartowski,lubelskie
Tomaszów Lubelski,tomaszowski,lubelskie
Łęczna,łęczyński,lubelskie
Krasnystaw,krasnostawski,lubelskie
Hrubieszów,hrubieszowski,lubelskie
Międzyrzec Podlaski,bialski,lubelskie
Radzyń Podlaski,radzyński,lubelskie
Dęblin,rycki,lubelskie
Włodawa,włodawski,lubelskie
Janów Lubelski,janowski,lubelskie
Parczew,parczewski,lubelskie
Ryki,rycki,lubelskie
Poniatowa,opolski,lubelskie
Opole Lubelskie,opolski,lubelskie
Bełżyce,lubelski,lubelskie
Terespol,bialski,lubelskie
Szczebrzeszyn,zamojski,lubelskie
Bychawa,lubelski,lubelskie
Rejowiec Fabryczny,chełmski,lubelskie
Nałęczów,puławski,lubelskie
Kazimierz Dolny,puławski,lubelskie
Tarnogród,biłgorajski,lubelskie
Krasnobród,zamojski,lubelskie
Kock,lubartowski,lubelskie
Zwierzyniec,zamojski,lubelskie
Kurów,puławski,lubelskie
Janów Podlaski,bialski,lubelskie
Piaski,świdnicki,lubelskie
Stoczek Łukowski,łukowski,lubelskie
Józefów,biłgorajski,lubelskie
Annopol,kraśnicki,lubelskie
Lubycza Królewska,tomaszowski,lubelskie
Piszczac,bialski,lubelskie
Rejowiec,chełmski,lubelskie
Końskowola,puławski,lubelskie
Łaszczów,tomaszowski,lubelskie
Ostrów Lubelski,lubartowski,lubelskie
Tyszowce,tomaszowski,lubelskie
Kamionka,lubartowski,lubelskie
Urzędów,kraśnicki,lubelskie
Izbica,krasnostawski,lubelskie
Modliborzyce,janowski,lubelskie
Frampol,biłgorajski,lubelskie
Siedliszcze,chełmski,lubelskie
Czemierniki,radzyński,lubelskie
Wąwolnica,puławski,lubelskie
Goraj,biłgorajski,lubelskie
Turobin,biłgorajski,lubelskie
Józefów nad Wisłą,opolski,lubelskie
Nowa Sól,nowosolski,lubuskie
Żary,żarski,lubuskie
Żagań,żagański,lubuskie
Świebodzin,świebodziński,lubuskie
Kostrzyn nad Odrą,gorzowski,lubuskie
Międzyrzecz,międzyrzecki,lubuskie
Słubice,słubicki,lubuskie
Gubin,krośnieński,lubuskie
Sulechów,zielonogórski,lubuskie
Wschowa,wschowski,lubuskie
Lubsko,żarski,lubuskie
Szprotawa,żagański,lubuskie
Krosno Odrzańskie,krośnieński,lubuskie
Sulęcin,sulęciński,lubuskie
Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie
Drezdenko,strzelecko-drezdenecki,lubuskie
Skwierzyna,międzyrzecki,lubuskie
Kożuchów,nowosolski,lubuskie
Witnica,gorzowski,lubuskie
Rzepin,słubicki,lubuskie
Zbąszynek,świebodziński,lubuskie
Nowogród Bobrzański,zielonogórski,lubuskie
Sława,wschowski,lubuskie
Jasień,żarski,lubuskie
Bytom Odrzański,nowosolski,lubuskie
Ośno Lubuskie,słubicki,lubuskie
Babimost,zielonogórski,lubuskie
Kargowa,zielonogórski,lubuskie
Czerwieńsk,zielonogórski,lubuskie
Iłowa,żagański,lubuskie
Małomice,żagański,lubuskie
Dobiegniew,strzelecko-drezdenecki,lubuskie
Gozdnica,żagański,lubuskie
Cybinka,słubicki,lubuskie
Nowe Miasteczko,nowosolski,lubuskie
Torzym,sulęciński,lubuskie
Łęknica,żarski,lubuskie
Trzciel,międzyrzecki,lubuskie
Lubniewice,sulęciński,lubuskie
Otyń,nowosolski,lubuskie
Szlichtyngowa,wschowski,lubuskie
Brody,żarski,lubuskie
Pabianice,pabianicki,łódzkie
Tomaszów Mazowiecki,tomaszowski,łódzkie
Zgierz,zgierski,łódzkie
Bełchatów,bełchatowski,łódzkie
Radomsko,radomszczański,łódzkie
Kutno,kutnowski,łódzkie
Sieradz,sieradzki,łódzkie
Zduńska Wola,zduńskowolski,łódzkie
Łowicz,łowicki,łódzkie
Aleksandrów Łódzki,zgierski,łódzkie
Wieluń,wieluński,łódzkie
Opoczno,opoczyński,łódzkie
Konstantynów Łódzki,pabianicki,łódzkie
Ozorków,zgierski,łódzkie
Łask,łaski,łódzkie
Rawa Mazowiecka,rawski,łódzkie
Głowno,zgierski,łódzkie
Łęczyca,łęczycki,łódzkie
Koluszki,łódzki wschodni,łódzkie
Brzeziny,brzeziński,łódzkie
Wieruszów,wieruszowski,łódzkie
Żychlin,kutnowski,łódzkie
Tuszyn,łódzki wschodni,łódzkie
Zelów,bełchatowski,łódzkie
Poddębice,poddębicki,łódzkie
Pajęczno,pajęczański,łódzkie
Sulejów,piotrkowski,łódzkie
Działoszyn,pajęczański,łódzkie
Krośniewice,kutnowski,łódzkie
Drzewica,opoczyński,łódzkie
Rzgów,łódzki wschodni,łódzkie
Złoczew,sieradzki,łódzkie
Stryków,zgierski,łódzkie
Przedbórz,radomszczański,łódzkie
Biała Rawska,rawski,łódzkie
Warta,sieradzki,łódzkie
Uniejów,poddębicki,łódzkie
Kamieńsk,radomszczański,łódzkie
Wolbórz,piotrkowski,łódzkie
Lututów,wieruszowski,łódzkie
Błaszki,sieradzki,łódzkie
Szadek,zduńskowolski,łódzkie
Rozprza,piotrkowski,łódzkie
Lutomiersk,pabianicki,łódzkie
Piątek,łęczycki,łódzkie
Ujazd,tomaszowski,łódzkie
Osjaków,wieluński,łódzkie
Jeżów,brzeziński,łódzkie
Bolesławiec,wieruszowski,łódzkie
Żarnów,opoczyński,łódzkie
Białaczów,opoczyński,łódzkie
Grabów,łęczycki,łódzkie
Dąbrowice,kutnowski,łódzkie
Parzęczew,zgierski,łódzkie
Bolimów,skierniewicki,łódzkie
Kiernozia,łowicki,łódzkie
Inowłódz,tomaszowski,łódzkie
Oświęcim,oświęcimski,małopolskie
Chrzanów,chrzanowski,małopolskie
Nowy Targ,nowotarski,małopolskie
Olkusz,olkuski,małopolskie
Bochnia,bocheński,małopolskie
Wieliczka,wielicki,małopolskie
Gorlice,gorlicki,małopolskie
Zakopane,tatrzański,małopolskie
Skawina,krakowski,małopolskie
Trzebinia,chrzanowski,małopolskie
Andrychów,wadowicki,małopolskie
Myślenice,myślenicki,małopolskie
Kęty,oświęcimski,małopolskie
Wadowice,wadowicki,małopolskie
Niepołomice,wielicki,małopolskie
Brzesko,brzeski,małopolskie
Libiąż,chrzanowski,małopolskie
Limanowa,limanowski,małopolskie
Rabka-Zdrój,nowotarski,małopolskie
Dąbrowa Tarnowska,dąbrowski,małopolskie
Miechów,miechowski,małopolskie
Brzeszcze,oświęcimski,małopolskie
Krzeszowice,krakowski,małopolskie
Krynica-Zdrój,nowosądecki,małopolskie
Bukowno,olkuski,małopolskie
Sucha Beskidzka,suski,małopolskie
Stary Sącz,nowosądecki,małopolskie
Chełmek,oświęcimski,małopolskie
Wolbrom,olkuski,małopolskie
Mszana Dolna,limanowski,małopolskie
Sułkowice,myślenicki,małopolskie
Tuchów,tarnowski,małopolskie
Dobczyce,myślenicki,małopolskie
Grybów,nowosądecki,małopolskie
Proszowice,proszowicki,małopolskie
Maków Podhalański,suski,małopolskie
Jordanów,suski,małopolskie
Piwniczna-Zdrój,nowosądecki,małopolskie
Szczawnica,nowotarski,małopolskie
Muszyna,nowosądecki,małopolskie
Biecz,gorlicki,małopolskie
Kalwaria Zebrzydowska,wadowicki,małopolskie
Słomniki,krakowski,małopolskie
Żabno,tarnowski,małopolskie
Szczucin,dąbrowski,małopolskie
Skała,krakowski,małopolskie
Czarny Dunajec,nowotarski,małopolskie
Zator,oświęcimski,małopolskie
Alwernia,chrzanowski,małopolskie
Wojnicz,tarnowski,małopolskie
Bobowa,gorlicki,małopolskie
Nowy Wiśnicz,bocheński,małopolskie
Radłów,tarnowski,małopolskie
Ryglice,tarnowski,małopolskie
Ciężkowice,tarnowski,małopolskie
Świątniki Górne,krakowski,małopolskie
Czchów,brzeski,małopolskie
Nowe Brzesko,proszowicki,małopolskie
Zakliczyn,tarnowski,małopolskie
Książ Wielki,miechowski,małopolskie
Koszyce,proszowicki,małopolskie
Pruszków,pruszkowski,mazowieckie
Legionowo,legionowski,mazowieckie
Piaseczno,piaseczyński,mazowieckie
Ząbki,wołomiński,mazowieckie
Otwock,otwocki,mazowieckie
Ciechanów,ciechanowski,mazowieckie
Mińsk Mazowiecki,miński,mazowieckie
Marki,wołomiński,mazowieckie
Żyrardów,żyrardowski,mazowieckie
Wołomin,wołomiński,mazowieckie
Grodzisk Mazowiecki,grodziski,mazowieckie
Sochaczew,sochaczewski,mazowieckie
Mława,mławski,mazowieckie
Nowy Dwór Mazowiecki,nowodworski,mazowieckie
Kobyłka,wołomiński,mazowieckie
Wyszków,wyszkowski,mazowieckie
Piastów,pruszkowski,mazowieckie
Ostrów Mazowiecka,ostrowski,mazowieckie
Płońsk,płoński,mazowieckie
Sulejówek,miński,mazowieckie
Józefów,otwocki,mazowieckie
Pułtusk,pułtuski,mazowieckie
Sokołów Podlaski,sokołowski,mazowieckie
Łomianki,warszawski zachodni,mazowieckie
Zielonka,wołomiński,mazowieckie
Garwolin,garwoliński,mazowieckie
Gostynin,gostyniński,mazowieckie
Sierpc,sierpecki,mazowieckie
Konstancin-Jeziorna,piaseczyński,mazowieckie
Grójec,grójecki,mazowieckie
Milanówek,grodziski,mazowieckie
Przasnysz,przasnyski,mazowieckie
Pionki,radomski,mazowieckie
Ożarów Mazowiecki,warszawski zachodni,mazowieckie
Kozienice,kozienicki,mazowieckie
Radzymin,wołomiński,mazowieckie
Brwinów,pruszkowski,mazowieckie
Błonie,warszawski zachodni,mazowieckie
Góra Kalwaria,piaseczyński,mazowieckie
Warka,grójecki,mazowieckie
Węgrów,węgrowski,mazowieckie
Szydłowiec,szydłowiecki,mazowieckie
Karczew,otwocki,mazowieckie
Maków Mazowiecki,makowski,mazowieckie
Żuromin,żuromiński,mazowieckie
Tłuszcz,wołomiński,mazowieckie
Nasielsk,nowodworski,mazowieckie
Zwoleń,zwoleński,mazowieckie
Łosice,łosicki,mazowieckie
Łochów,węgrowski,mazowieckie
Białobrzegi,białobrzeski,mazowieckie
Mszczonów,żyrardowski,mazowieckie
Przysucha,przysuski,mazowieckie
Serock,legionowski,mazowieckie
Lipsko,lipski,mazowieckie
Łaskarzew,garwoliński,mazowieckie
Skaryszew,radomski,mazowieckie
Pilawa,garwoliński,mazowieckie
Tarczyn,piaseczyński,mazowieckie
Iłża,radomski,mazowieckie
Gąbin,płocki,mazowieckie
Raciąż,płoński,mazowieckie
Jedlnia-Letnisko,radomski,mazowieckie
Podkowa Leśna,grodziski,mazowieckie
Halinów,miński,mazowieckie
Żelechów,garwoliński,mazowieckie
Mrozy,miński,mazowieckie
Nowe Miasto nad Pilicą,grójecki,mazowieckie
Myszyniec,ostrołęcki,mazowieckie
Zakroczym,nowodworski,mazowieckie
Chorzele,przasnyski,mazowieckie
Glinojeck,ciechanowski,mazowieckie
Kałuszyn,miński,mazowieckie
Drobin,płocki,mazowieckie
Różan,makowski,mazowieckie
Wyszogród,płocki,mazowieckie
Cegłów,miński,mazowieckie
Siennica,miński,mazowieckie
Mogielnica,grójecki,mazowieckie
Kosów Lacki,sokołowski,mazowieckie
Sochocin,płoński,mazowieckie
Dobre,miński,mazowieckie
Brok,ostrowski,mazowieckie
Sanniki,gostyniński,mazowieckie
Bieżuń,żuromiński,mazowieckie
Mordy,siedlecki,mazowieckie
Nowe Miasto,płoński,mazowieckie
Lubowidz,żuromiński,mazowieckie
Wiskitki,żyrardowski,mazowieckie
Maciejowice,garwoliński,mazowieckie
Latowicz,miński,mazowieckie
Jastrząb,szydłowiecki,mazowieckie
Bodzanów,płocki,mazowieckie
Osieck,otwocki,mazowieckie
Odrzywół,przysuski,mazowieckie
Czerwińsk nad Wisłą,płoński,mazowieckie
Magnuszew,kozienicki,mazowieckie
Solec nad Wisłą,lipski,mazowieckie
Sienno,lipski,mazowieckie
Jadów,wołomiński,mazowieckie
Przytyk,radomski,mazowieckie
Wyśmierzyce,białobrzeski,mazowieckie
Głowaczów,kozienicki,mazowieckie
Gielniów,przysuski,mazowieckie
Ciepielów,lipski,mazowieckie
Kazanów,zwoleński,mazowieckie
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie
Nysa,nyski,opolskie
Brzeg,brzeski,opolskie
Kluczbork,kluczborski,opolskie
Prudnik,prudnicki,opolskie
Strzelce Opolskie,strzelecki,opolskie
Namysłów,namysłowski,opolskie
Krapkowice,krapkowicki,opolskie
Głuchołazy,nyski,opolskie
Głubczyce,głubczycki,opolskie
Zdzieszowice,krapkowicki,opolskie
Olesno,oleski,opolskie
Ozimek,opolski,opolskie
Grodków,brzeski,opolskie
Praszka,oleski,opolskie
Paczków,nyski,opolskie
Gogolin,krapkowicki,opolskie
Zawadzkie,strzelecki,opolskie
Otmuchów,nyski,opolskie
Niemodlin,opolski,opolskie
Lewin Brzeski,brzeski,opolskie
Kietrz,głubczycki,opolskie
Głogówek,prudnicki,opolskie
Wołczyn,kluczborski,opolskie
Tułowice,opolski,opolskie
Dobrodzień,oleski,opolskie
Byczyna,kluczborski,opolskie
Kolonowskie,strzelecki,opolskie
Baborów,głubczycki,opolskie
Prószków,opolski,opolskie
Leśnica,strzelecki,opolskie
Gorzów Śląski,oleski,opolskie
Biała,prudnicki,opolskie
Ujazd,strzelecki,opolskie
Korfantów,nyski,opolskie
Strzeleczki,krapkowicki,opolskie
Branice,głubczycki,opolskie
Mielec,mielecki,podkarpackie
Stalowa Wola,stalowowolski,podkarpackie
Dębica,dębicki,podkarpackie
Jarosław,jarosławski,podkarpackie
Sanok,sanocki,podkarpackie
Jasło,jasielski,podkarpackie
Łańcut,łańcucki,podkarpackie
Ropczyce,ropczycko-sędziszowski,podkarpackie
Przeworsk,przeworski,podkarpackie
Nisko,niżański,podkarpackie
Leżajsk,leżajski,podkarpackie
Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie
Lubaczów,lubaczowski,podkarpackie
Głogów Małopolski,rzeszowski,podkarpackie
Nowa Dęba,tarnobrzeski,podkarpackie
Kolbuszowa,kolbuszowski,podkarpackie
Ustrzyki Dolne,bieszczadzki,podkarpackie
Strzyżów,strzyżowski,podkarpackie
Brzozów,brzozowski,podkarpackie
Rudnik nad Sanem,niżański,podkarpackie
Boguchwała,rzeszowski,podkarpackie
Dynów,rzeszowski,podkarpackie
Jedlicze,krośnieński,podkarpackie
Nowa Sarzyna,leżajski,podkarpackie
Lesko,leski,podkarpackie
Pilzno,dębicki,podkarpackie
Radymno,jarosławski,podkarpackie
Zagórz,sanocki,podkarpackie
Tyczyn,rzeszowski,podkarpackie
Sokołów Małopolski,rzeszowski,podkarpackie
Pruchnik,jarosławski,podkarpackie
Rymanów,krośnieński,podkarpackie
Radomyśl Wielki,mielecki,podkarpackie
Kańczuga,przeworski,podkarpackie
Oleszyce,lubaczowski,podkarpackie
Zaklików,stalowowolski,podkarpackie
Brzostek,dębicki,podkarpackie
Błażowa,rzeszowski,podkarpackie
Sieniawa,przeworski,podkarpackie
Narol,lubaczowski,podkarpackie
Dukla,krośnieński,podkarpackie
Przecław,mielecki,podkarpackie
Cieszanów,lubaczowski,podkarpackie
Iwonicz-Zdrój,krośnieński,podkarpackie
Baranów Sandomierski,tarnobrzeski,podkarpackie
Ulanów,niżański,podkarpackie
Kołaczyce,jasielski,podkarpackie
Jawornik Polski,przeworski,podkarpackie
Bircza,przemyski,podkarpackie
Dubiecko,przemyski,podkarpackie
Augustów,augustowski,podlaskie
Bielsk Podlaski,bielski,podlaskie
Grajewo,grajewski,podlaskie
Zambrów,zambrowski,podlaskie
Hajnówka,hajnowski,podlaskie
Sokółka,sokólski,podlaskie
Łapy,białostocki,podlaskie
Siemiatycze,siemiatycki,podlaskie
Wasilków,białostocki,podlaskie
Kolno,kolneński,podlaskie
Mońki,moniecki,podlaskie
Wysokie Mazowieckie,wysokomazowiecki,podlaskie
Czarna Białostocka,białostocki,podlaskie
Choroszcz,białostocki,podlaskie
Dąbrowa Białostocka,sokólski,podlaskie
Sejny,sejneński,podlaskie
Ciechanowiec,wysokomazowiecki,podlaskie
Supraśl,białostocki,podlaskie
Brańsk,bielski,podlaskie
Szczuczyn,grajewski,podlaskie
Michałowo,białostocki,podlaskie
Knyszyn,moniecki,podlaskie
Zabłudów,białostocki,podlaskie
Czyżew,wysokomazowiecki,podlaskie
Krynki,sokólski,podlaskie
Nowogród,łomżyński,podlaskie
Lipsk,augustowski,podlaskie
Suchowola,sokólski,podlaskie
Szepietowo,wysokomazowiecki,podlaskie
Stawiski,kolneński,podlaskie
Tykocin,białostocki,podlaskie
Drohiczyn,siemiatycki,podlaskie
Goniądz,moniecki,podlaskie
Jedwabne,łomżyński,podlaskie
Rajgród,grajewski,podlaskie
Kleszczele,hajnowski,podlaskie
Suraż,białostocki,podlaskie
Tczew,tczewski,pomorskie
Rumia,wejherowski,pomorskie
Wejherowo,wejherowski,pomorskie
Starogard Gdański,starogardzki,pomorskie
Chojnice,chojnicki,pomorskie
Kwidzyn,kwidzyński,pomorskie
Malbork,malborski,pomorskie
Lębork,lęborski,pomorskie
Pruszcz Gdański,gdański,pomorskie
Reda,wejherowski,pomorskie
Kościerzyna,kościerski,pomorskie
Bytów,bytowski,pomorskie
Kartuzy,kartuski,pomorskie
Ustka,słupski,pomorskie
Człuchów,człuchowski,pomorskie
Puck,pucki,pomorskie
Czersk,chojnicki,pomorskie
Nowy Dwór Gdański,nowodworski,pomorskie
Miastko,bytowski,pomorskie
Władysławowo,pucki,pomorskie
Sztum,sztumski,pomorskie
Prabuty,kwidzyński,pomorskie
Pelplin,tczewski,pomorskie
Żukowo,kartuski,pomorskie
Skarszewy,starogardzki,pomorskie
Gniew,tczewski,pomorskie
Czarne,człuchowski,pomorskie
Brusy,chojnicki,pomorskie
Dzierzgoń,sztumski,pomorskie
Debrzno,człuchowski,pomorskie
Kobylnica,słupski,pomorskie
Nowy Staw,malborski,pomorskie
Skórcz,starogardzki,pomorskie
Kępice,słupski,pomorskie
Łeba,lęborski,pomorskie
Hel,pucki,pomorskie
Czarna Woda,starogardzki,pomorskie
Jastarnia,pucki,pomorskie
Krynica Morska,nowodworski,pomorskie
Tarnowskie Góry,tarnogórski,śląskie
Będzin,będziński,śląskie
Racibórz,raciborski,śląskie
Zawiercie,zawierciański,śląskie
Wodzisław Śląski,wodzisławski,śląskie
Mikołów,mikołowski,śląskie
Knurów,gliwicki,śląskie
Czechowice-Dziedzice,bielski,śląskie
Cieszyn,cieszyński,śląskie
Czeladź,będziński,śląskie
Żywiec,żywiecki,śląskie
Myszków,myszkowski,śląskie
Czerwionka-Leszczyny,rybnicki,śląskie
Pszczyna,pszczyński,śląskie
Lubliniec,lubliniecki,śląskie
Orzesze,mikołowski,śląskie
Łaziska Górne,mikołowski,śląskie
Rydułtowy,wodzisławski,śląskie
Bieruń,bieruńsko-lędziński,śląskie
Pyskowice,gliwicki,śląskie
Radlin,wodzisławski,śląskie
